Alquitón				».	\n\n	28500
28500	_		Arganda			
Arganda	_		del			
del	_		Rey			
Rey				.	_	Madrid
Madrid				.	_	Teléfono
Teléfono				:	_	91
91	_		870			
870	_		45			
45	_		85			
85	\n\n		ISBN			
ISBN				:	_	978
978				-		84
84				-		9800
9800				-		631
631				-		5
5	\n\n		Depósito			
Depósito	_		legal			
legal				:	_	B
B				-		30410
30410				-		2010
2010	\n\n		Impreso			
Impreso	_		por			
por	_		Litografía			
Litografía	_		Roses			
Roses	_		S			
S				.	_	A
A				.	\n\n\n\n	Datos
Datos	_		Edición			
Edición	_		NOVA			
NOVA	\n\n		Traducción			
Traducción				:	_	Susana
Susana	_		Cella			
Cella	\n\n		1ª			
1ª	_		edición			
edición				:	_	enero
enero	_		1993			
Para	_		la			
la	_		edición			
edición	_		en			
en	_		castellano			
castellano				,	_	Ediciones
Ediciones	_		B			
B				,	_	S
S				.		A
A				.,	_	1993
1993	\n\n		Colección			
Colección	_		NOVA			
NOVA	_		nº			
nº	_		53			
53	\n\n		ISBN			
ISBN				:	_	84
84				-		406
406				-		3280
3280				-		0
0	\n\n		Depósito			
Depósito	_		legal			
legal				:	_	B
B				.	_	790
790				-		1993
1993	\n\n		Impreso			
Impreso	_		por			
por	_		PURESA			
PURESA				,	_	S
S				.		A
A				.	\n\n	Girona
Girona				,	_	139
08203	_		Sabadell			
Sabadell	\n\n		Diseño			
Diseño	_		cubierta			
cubierta				:	_	Estudio
Estudio	_		EDICIONES			
EDICIONES	_		B			
B	\n\n\n\n		Versión			
Versión	_		en			
en	_		ePub			
ePub				:	_	Rov
Rov				,	_	Agosto
Agosto	_		2011			
2011	\n\n\n\n\n\n		Presentación			
Presentación	\n\n\n	(	Esta			
Esta	_		presentación			
presentación	_		corresponde			
corresponde	_		a			
a	_		la			
la	_		edición			
edición	_		de			
de	_		la			
la	_		colección			
colección	_		NOVA			
NOVA	_		de			
de	_		1993			
1993				,	_	de
de	_		Ediciones			
Ediciones	_		B			
B				)	\n\n\n\n	Jack
Jack	_		McDevitt			
McDevitt	_		ha			
ha	_		llegado			
llegado	_		a			
a	_		la			
la	_		ciencia			
ciencia	_		ficción			
ficción	_		en			
en	_		su			
su	_		madurez			
madurez				.	_	Su
Su	_		primer			
primer	_		relato			
relato	_		se			
se	_		publicó			
publicó	_		en			
en	_		1981			
1981				,	_	cuando
cuando	_		ya			
ya	_		había			
había	_		superado			
superado	_		ampliamente			
ampliamente	_		los			
los	_		cuarenta			
cuarenta	_		y			
y	_		tras			
tras	_		obtener			
obtener	_		un			
un	_		máster			
máster	_		en			
en	_		Literatura			
Literatura	_		ala			
ala	_		edad			
edad	_		de			
de	_		37			
37	_		años			
años				.	_	Sus
Sus	_		planteamientos			
planteamientos	_		son			
son	_		pues			
pues	_		los			
los	_		que			
que	_		corresponden			
corresponden	_		a			
a	_		una			
una	_		visión			
visión	_		adulta			
adulta	_		y			
y	_		madura			
madura	_		de			
de	_		las			
las	_		posibilidades			
posibilidades	_		de			
de	_		la			
la	_		ciencia			
ciencia	_		ficción			
ficción				.	\n\n	En
En	_		EL			
EL	_		TEXTO			
TEXTO	_		DE			
DE	_		HÉRCULES			
HÉRCULES	_	(	NOVA			
NOVA	_		ciencia			
ciencia	_		ficción			
ficción				,	_	número
número	_		26			
26				),	_	McDevitt
McDevitt	_		nos			
nos	_		presentaba			
presentaba	_		un			
un	_		caso			
caso	_		de			
de	_	«	primer			
primer	_		contacto			
contacto				»	_	con
con	_		una			
una	_		civilización			
civilización	_		extraterrestre			
extraterrestre	_		y			
y	_		elegía			
elegía	_		detenerse			
detenerse	_		en			
en	_		las			
las	_		consecuencias			
consecuencias	_		que			
que	_		tal			
tal	_		circunstancia			
circunstancia	_		puede			
puede	_		produár			
produár	_		en			
en	_		nuestra			
nuestra	_		propia			
propia	_		civilización			
civilización				.	_	En
En	_		un			
un	_		perfecto			
perfecto	_		ejemplo			
ejemplo	_		de			
de	_		la			
la	_		ciencia			
ciencia	_		ficción			
ficción	_		dedicada			
dedicada	_		a			
a	_		especular			
especular	_		sobre			
sobre	_		posibles			
posibles	_		futuros			
futuros	_		en			
en	_		torno			
torno	_		a			
a	_		la			
la	_		clásica			
clásica	_		pregunta			
pregunta	_	¿	qué			
qué	_		sucedería			
sucedería	_		si			
si				...?,	_	McDevitt
McDevitt	_		nos			
nos	_		presentaba			
presentaba	_		entonces			
entonces				,	_	con
con	_		mano			
mano	_		maestra			
maestra				,	_	las
las	_		repercusiones			
repercusiones	_		de			
de	_		un			
un	_		inesperado			
inesperado	_		mensaje			
mensaje	_		extraterrestre			
extraterrestre				.	_	Una
Una	_		nueva			
nueva	_		comprensión			
comprensión	_		del			
del	_		universo			
universo				,	_	nuevas
nuevas	_		fuentes			
fuentes	_		de			
de	_		energía			
energía				,	_	la
la	_		posibilidad			
posibilidad	_		de			
de	_		modificar			
modificar	_		el			
el	_		ADN			
ADN	_		para			
para	_		alcanzar			
alcanzar	_		prácticamente			
prácticamente	_		la			
la	_		inmortalidad			
inmortalidad				,	_	etc
etc				.,	_	eran
eran	_		los			
los	_		factores			
factores	_		que			
que	_		determinaban			
determinaban	_		interesantes			
interesantes	_		especulaciones			
especulaciones	_		sobre			
sobre	_		el			
el	_		posible			
posible	_		efecto			
efecto	_		de			
de	_		ese			
ese	_		primer			
primer	_		contacto			
contacto	_		en			
en	_		la			
la	_		política			
política				,	_	la
la	_		religión			
religión				,	_	la
la	_		economía			
economía	_		o			
o	_		en			
en	_		el			
el	_		papel			
papel	_		de			
