>> Total palabras: 9225
>> Total diferentes: 2836
-------
cnt	freq
1	1982
2	368
3	145
4	93
5	50
6	34
7	29
10	20
8	19
9	16
12	7
15	7
11	6
16	5
19	4
20	4
13	3
14	3
18	3
17	2
24	2
46	2
96	2
21	1
23	1
25	1
35	1
38	1
39	1
40	1
41	1
44	1
50	1
52	1
53	1
55	1
56	1
58	1
66	1
74	1
97	1
101	1
114	1
392	horacio	3
393	igualmente	3
394	importa	3
395	importancia	3
396	invierno	3
397	jamás	3
398	jefe	3
399	juntos	3
400	larga	3
401	leído	3
402	llegar	3
403	lord	3
404	maine	3
405	manera	3
406	mano	3
407	manos	3
408	marx	3
409	mecedora	3
410	merece	3
411	mismo	3
412	mismos	3
413	moneda	3
414	muchacho	3
415	muchas	3
416	mundano	3
417	naturalmente	3
418	normal	3
419	nosotros	3
420	nuestros	3
421	obra	3
422	otros	3
423	padre	3
424	pagar	3
425	palabras	3
426	papel	3
427	parecido	3
428	pasar	3
429	pasiones	3
430	países	3
431	pelo	3
432	piensa	3
433	pocos	3
434	polo	3
435	precisamente	3
436	preguntó	3
437	primer	3
438	probable	3
439	problema	3
440	propio	3
441	práctica	3
442	pueda	3
443	pueden	3
444	puedo	3
445	pues	3
446	punto	3
447	quería	3
448	quisiera	3
449	quién	3
450	realidad	3
451	recuerdo	3
452	refiero	3
453	renta	3
454	respondió	3
455	roast	3
456	sabiduría	3
457	sabrá	3
458	sabía	3
459	sean	3
460	según	3
461	sienten	3
462	social	3
463	sofá	3
464	solo	3
465	sonrisa	3
466	suficiente	3
467	tienen	3
468	torno	3
469	trato	3
470	tuve	3
471	tuvo	3
472	u	3
473	varones	3
474	veinticinco	3
475	verano	3
476	veras	3
477	verdad	3
478	veremos	3
479	verá	3
480	vicepresidencia	3
481	vicepresidente	3
482	viejos	3
483	vista	3
484	volvió	3
485	voy	3
486	whisky	3
487	abajo	2
488	aceptar	2
489	acontecimiento	2
490	actores	2
491	admitido	2
492	afirmación	2
493	alfileres	2
494	allen	2
495	almorzar	2
496	amante	2
497	anda	2
498	ansias	2
499	anteriores	2
500	aparcar	2
501	aparte	2
502	aquellas	2
503	aquello	2
504	arrancar	2
505	arriba	2
506	arrugado	2
507	artículos	2
508	aspecto	2
509	asqueroso	2
510	asunto	2
511	automático	2
512	avergonzarse	2
513	añadido	2
514	barriga	2
515	bastaba	2
516	beso	2
517	boston	2
518	botellas	2
519	breve	2
520	bridge	2
521	busca	2
522	caballo	2
523	caballos	2
524	caduca	2
525	caer	2
526	calderilla	2
527	campo	2
528	cancioncilla	2
529	cantaba	2
530	carece	2
531	casas	2
532	causa	2
533	cena	2
534	chaleco	2
535	chaqueta	2
536	chesterfield	2
537	chicago	2
538	chicas	2
539	chicos	2
540	científico	2
541	cierta	2
542	cigarrillos	2
543	cita	2
544	clavo	2
545	club	2
546	comeríamos	2
547	cometidos	2
548	compañero	2
549	compañía	2
550	comprado	2
551	concepto	2
552	conocido	2
553	conozco	2
554	conquistas	2
555	considero	2
556	constantemente	2
557	contraer	2
558	corbata	2
559	correspondiente	2
560	corriendo	2
561	crecen	2
562	creen	2
563	creo	2
564	cuidadosamente	2
565	cínicos	2
566	danzan	2
567	dar	2
568	darle	2
569	darse	2
